period,count
"reign of sheshonq i, approximately third intermediate period",2
reign of thutmose iii second intermediate period-early dynasty 18,2
kushite period-saite period,2
new kingdom or early third intermediate period,2
3rd int. or later,2
third intermediate period-islamic period,2
middle kingdom-new kingdom,2
first intermediate period-middle kingdom,2
reign of niuserre old kingdom,2
reign of nebirierau i second intermediate period,2
reign of aya middle kingdom,2
reign of sebekhotep iv late middle kingdom,2
reign of sebekhotep iii middle kingdom,2
reign of amenhotep iii or later new kingdom,2
reign of apries late period,2
late period or later,2
darius i,2
senwosret i to senwosret ii middle kingdom,2
necho ii,2
reign of amenemhat i-senwosret i middle kingdom,2
reign of amenemhat iv middle kingdom,2
"reign of mentuhotep ii, later middle kingdom",2
probably third intermediate period,2
reign of neferkauhor old kingdom,2
reign of sahure old kingdom,2
"reign of akhenaten-tutankhamun new kingdom, amarna period",2
later reign of mentuhotep ii middle kingdom,2
neolithic,2
reign of niuserre-unis old kingdom,2
"predynastic, early naqada ii",2
unas,2
late reign of mentuhotep ii or later middle kingdom,2
reign of niuserre or later old kingdom,2
roman period and later,2
reign of teti old kingdom,2
reign of sebekhotep iv middle kingdom,2
late period - ptolemaic period,2
amenemhat ii and later middle kingdom,2
reign of senwosret i twentieth century,2
new kingdom to later,2
"new kingdom, ramesside or third intermediate period",2
arab conquest,2
reign of ramesses iv new kingdom,2
amenmesse,2
"reign of ramesses ix new kingdom, ramesside",2
cleopatra vii philopator,2
"ramesses ii new kingdom, ramesside",2
reign of sheshi second intermediate period,2
"reign of amenhotep ii new kingdom, ramesside",2
lower paleolithic,2
palaeolithicum,2
"reign of merneptah new kingdom, ramesside",2
saite,2
reign of high priest painedjem i third intermediate period,2
second intermediate period-early dynasty 18,2
reign of montuhotep ii middle kingdom,2
reign of sheshonq iii third intermediate period,1
reign of khafre or menkaure old kingdom,1
amarna ?,1
amenhotep ii new kingdom,1
"late period, saite or later",1
late new kingdom or early third intermediate period,1
dynasty 30-ptolemaic period,1
upper paleolithic period,1
reign of seti i or later new kingdom,1
roman period and islamic period,1
new kingdom/saite,1
saite to ptolemaic,1
"third intermediate period, possibly earlier",1
"new kingdom, possibly",1
byzantine-islamic period,1
reigns of thutmose i-amenhotep ii new kingdom,1
late new kingdom or later,1
reign of painedjem i third intermediate period,1
reigns of thutmose iii to thutmose iv new kingdom,1
probably late period,1
reign of taharqa-psamtik i late period,1
reign of high priest painedjem ii third intermediate period or later,1
"reign of amasis or later late period, saite",1
"reigns of akhenaten-tutankhamun new kingdom, amarna period - post-amarna period",1
early dynastic ?,1
later reign of amenhotep ii-mid-reign of  amenhotep iii new kingdom,1
new kingdom to third intermediate period,1
"reign of ka, narmer, or horaha early dynastic period",1
ptolemaic period - early roman period,1
archaic period,1
reign of horus khabau old kingdom,1
reign of hatshepsut new kingdom,1
early new kingdom-ramesside period,1
thutmose ii-thutmose iv new kingdom,1
late per - ptolemaic,1
pontificate of high priest painedjem i third intermediate period,1
new kingdom - late per,1
third intermediate periodlate period,1
late period to early ptolemaic period,1
"late period, saite or persian",1
before the reign of amenhotep iii new kingdom,1
philadelphos ptolemaic period,1
reign of thutmose-hatshepsut new kingdom,1
3rd intermediate ?,1
new kingdom to late period,1
byzantine period or later,1
new kingdom to 3rd intermediate period,1
late ptolemaic period-early roman period,1
reign of tiberius roman period,1
reign of caligula roman period,1
new kingdom ?,1
ptolemaic ?,1
"reign of sheshonq iii, approximately third intermediate period",1
late period-ptolemaic  period,1
new kingdom - 3rd in,1
new kingdom to late,1
3rd int. - ptolemaic,1
late period to ptole,1
neolithic*,1
reign of siptah twentieth century,1
old kingdom ?,1
late ptolemaic/roman,1
persian period to late period,1
reign of amenhotep iv new kingdom,1
reign of amenemhat ii-senwosret iii middle kingdom,1
reigns of pepi i and merenre old kingdom,1
"predynastic, naqada iic-d2",1
amenhotep iii-ramesses ii new kingdom,1
"islamic period, perhaps",1
"new kingdom, ramesside or later",1
reign of isesi-unis modern,1
byzantine or islamic period,1
late new kingdom - late period,1
neolithic or later,1
predynastic period-dynasty i,1
ptolemaic  period,1
old kingdom-middle kingdom,1
"reign of ka, or narmer early dynastic period",1
reigns of psamtik i or apries late period,1
psamtik i late period,1
reign of peribsen early dynastic period,1
ptolemy iii and berenike ii ptolemaic period,1
ramesside,1
reign of necho ii late period,1
reign of sethnakht new kingdom,1
old akkadian,1
reigns of amenhotep ii - amenhotep iii new kingdom,1
reign of thutmose iii or later new kingdom,1
late roman period,1
reign of ramesses i-ramesses ii twentieth century,1
late period or ptole,1
probably reign of thutmose iv twentieth century,1
reign of thutmose iv twentieth century,1
mid-reign thutmose iii-mid-reign  amenhotep ii new kingdom,1
reign of thutmose iii-early amenhotep ii twentieth century,1
uncertain,1
new kingdom or befor,1
"reigns of ramesses iv - ramesses v new kingdom, ramesside",1
old syrian period,1
middle kingdom to second intermediate period,1
reign of senwosret i or amenemhat ii middle kingdom,1
"reign of mentuhotep ii, possibly middle kingdom",1
reign of senwosret i or later middle kingdom,1
reign of amenemhat i possibly middle kingdom,1
reigns of senwosret ii to senwosret iii middle kingdom,1
"amenemhat ii, late middle kingdom",1
reign of thutmose iii-amenhotep ii twentieth century,1
greek,1
reign of psusennes ii third intermediate period,1
reign of nectanebo ii or later late period-early ptolemaic,1
"reigns of ramesses ix - ramesses xi new kingdom, ramesside",1
new kingdom-3rd int.,1
"reign of ramesses ix - xi new kingdom, ramesside",1
"new kingdom, ramesside, probably later",1
ptolemaic - later,1
saite or later,1
"reigns of ramesses iv-vi. new kingdom, ramesside",1
pontificate third intermediate period,1
late period: persian,1
late period to ptolemaic period,1
den early dynastic period,1
reign of thutmose i-hatshepsut new kingdom,1
reign of senwosret iii-amenemhat iii middle kingdom-early new kingdom,1
old babylonian,1
"reign of ramesses ii, year 21 new kingdom, ramesside",1
late dynastic - ptolemaic period,1
archaic or old king.,1
middle kingdom?,1
reign of amenhotep i-thutmose iii new kingdom,1
macedonian-ptolemaic period,1
reign of intef iii first intermediate period,1
"reign of snefru, probably old kingdom",1
late middle kingdom - early second intermediate period,1
reign of  xerxes i late period,1
reigns of isesi to unis old kingdom,1
reign of menkaure old kingdom,1
reign of userkaf-niuserre old kingdom,1
reign of snefru old kingdom,1
reign of khufu or khafre old kingdom,1
reign of unis or slightly later old kingdom,1
reign of djoser old kingdom,1
reign of merenre i old kingdom,1
reign of unis-pepi ii old kingdom,1
third intermediate period or saite period,1
late period  or later,1
late period  - ptolemaic period,1
reign of psamtik ii-apries late period,1
reign of thutmose iii-amenhotep iii new kingdom,1
probably reign of senwosret iii middle kingdom,1
reign of seti ii new kingdom,1
pontificate of painedjem ii or psusennes iii third intermediate period,1
reign of thutmose iii - amenhotep iii new kingdom,1
reign of radjedef or later old kingdom,1
late second intermediate period,1
reign of ptolemy iii and reign of berenike ii ptolemaic period,1
