object_classification,count
"sarcophagus ,  bath-tub  ,  religious/ritual vessel",3
"ostracon ,  trial-piece",3
"model ,  chisel ,  foundation-deposit",3
"artefact ,  base",3
"plaque ,  scaraboid",3
boss,3
"wine-jar  ,  ostracon",3
"human skeletal remains ,  coffin",3
wrist-guard,3
patera,3
"finger-ring ,  plaque",3
"shabti-box ,  shabti",3
handaxe,3
fossil,3
"print ,  illustrated book",3
"scaraboid ,  seal",3
pot-stand,3
"necklace  ,  bead ,  pendant ,  amulet",3
"mummy-mask  ,  cartonnage",3
"jar ,  model",3
"bead ,  amulet ,  necklace",3
"foundation-deposit ,  brick",3
drinking-bowl,3
"cartonnage ,  mummy-case",3
"print ,  book",3
vase-stand,3
fly-whisk,3
"oil-bottle ,  figure vessel",3
ink-pot,3
"model ,  water-hoist ,  irrigation equipment",3
kiln-support,3
"flask ,  figure",3
casket,3
"textile ,  rug",3
cosmetic-flask,3
"disc ,  box",3
"disc ,  pyxis",3
"print ,  playing-card",3
"bowl ,  rosette bowl",3
camel-saddle,3
"rod ,  cooking-implement",3
"vessel ,  aryballos ,  figure",3
tripod pyxis,3
book-cover,3
tinder,3
"lamp ,  forgery",3
cup-kantharos,3
"print ,  broadside",3
"print ,  admission-ticket",3
"lid ,  pyxis",3
handkerchief,3
acroterion,3
"bowl ,  plate",3
"vessel-fitting ,  lekane",3
"cup ,  bowl",3
bread-stamp,3
sundial,3
coat,3
bellows,3
"game-board ,  game-box",3
measuring-vessel,3
"jar ,  vegetal remains",3
"necklace ,  cross pendant",3
tent-hanging,3
"album ,  drawing",3
icon,3
"model ,  jar",3
"sealing ,  seal-impression ,  cloth",3
"drawing ,  print study ,  plan",3
"seal-impression ,  sealing",3
"disc ,  jewellery-fitting",3
"boss ,  jewellery",3
"rasp ,  scraper",3
container,3
"lamp ,  replica",3
"lid ,  vessel",3
"bowl ,  figure",3
"bottle ,  unguent-bottle",3
cosmetic-container,3
boat-fitting,3
"canopic chest ,  canopic jar",2
dish-lamp,2
"vessel ,  coffee-filter",2
"ear-ring  ,  amulet ,  inlay",2
bow drill,2
lute,2
"pendant ,  ear-ring",2
"spacer-bead ,  amulet",2
"model ,  vase ,  vase-stand",2
"altar ,  incense-burner",2
"model ,  foundation-deposit ,  corn-grinder",2
"spacer-bead  ,  ornament",2
"altar ,  model",2
"votive box  ,  figure",2
"jar ,  measuring-vessel",2
religious/ritual equipment,2
paint-brush,2
"print ,  music sheet/cover",2
"ear-ring ,  sealstone",2
"plaque ,  brick ,  foundation-deposit",2
"askos ,  figure",2
"purse ,  bag ,  pouch",2
"collar ,  bead ,  pendant",2
"sealstone  ,  intaglio",2
"model group ,  boat",2
"model group  ,  figure",2
"coffin ,  human mummy ,  cartonnage ,  mummy-mask ,  mummy-wrapping ,  head-rest",2
"toy ,  game-ball",2
"model group ,  vase",2
"temple-relief ,  graffito",2
pyramid-casing,2
"model ,  mace",2
"necklace  ,  amulet",2
"cup ,  foundation-deposit",2
shabti-mould,2
plough,2
"artefact ,  cosmetic-palette",2
"amphoriskos ,  flask",2
"canopic jar ,  human remains",2
marble,2
"figure ,  papyrus",2
"bowl ,  model",2
shabti-jar,2
"shabti ,  textile",2
shabti-coffin,2
"coffin ,  model",2
"cosmetic-bag ,  model",2
"vase ,  stirrup jar",2
strigil,2
"jewellery-fitting  ,  knob",2
"knife ,  model",2
steelyard-weight,2
door-hinge,2
coffee-strainer,2
distaff,2
"canopic jar ,  vegetal remains",2
measuring-rod,2
"axe ,  replica",2
rag doll,2
herm,2
"jar ,  cup",2
"dish  ,  animal remains",2
"lamp ,  votive offering",2
"bead ,  pendant ,  necklace",2
"weight  ,  grinder",2
offering-tank,2
"breast-ornament ,  mummy-wrapping",2
jacket,2
incision-plate,2
spacer-bar,2
milk-bowl,2
"bowl ,  brazier",2
"amphora ,  ostracon",2
"badge ,  lance",2
"textile ,  garment ,  furnishing",2
"jewellery-fitting ,  chain",2
"jewellery-fitting ,  ear-ring",2
"bead ,  name-bead",2
"vessel ,  pot",2
"figure ,  votive offering",2
vessel-fitting,2
"necklace  ,  amulet ,  bead",2
"krater ,  amphora",2
"magical gem ,  amulet",2
"seal ,  intaglio",2
letter,2
"plaque ,  altar-piece",2
"panel ,  relief",2
"burqa ,  veil ,  coin",2
"cast ,  stela",2
bottle-sealing,2
"amulet ,  figure ,  stamp-seal",2
clasp,2
"knife ,  animal equipment",2
"scribal palette ,  pigment sample ,  reed pen",2
"vessel ,  vase",2
"heart-amulet ,  pendant",2
"spindle ,  thread",2
tambourine,2
"mortarium ,  bowl",2
"model ,  sceptre",2
spur,2
"hook ,  fish-hook",2
beam,2
"model ,  shield",2
"axe ,  ornament",2
"trial-piece ,  graffito",2
couch,2
"canopic coffin ,  human mummy ,  mummy-wrapping",2
wig,2
counterpoise-menat,2
plug,2
crotal,2
"model ,  boat",2
rainwater-spout,2
vessel-cover,2
vessel-mould,2
cosmetic-knife,2
rattle,2
"cosmetic-palette ,  cast",2
vessel-stand,2
"figure  ,  model group",2
guttus,2
"human mummy ,  mummy-case ,  cartonnage ,  burial-cloth ,  mummy-wrapping",2
"game-board ,  platter",2
"transport amphora ,  jar-sealing",2
"animal mummy ,  mummy-wrapping ,  mummy-case",2
"mummy-case ,  animal remains",2
"pendant-mould ,  scaraboid-mould",2
cosmetic-jug,2
"bead ,  camel-trappings",2
"statue ,  base",2
pounder,2
"model ,  religious/ritual equipment ,  vessel ,  tool/implement",2
funerary wreath,2
balance,2
bread-mould,2
cooking-vessel,2
window,2
"pounder ,  potter's tool/implement",2
nikosthenic pyxis,2
"bowl ,  culinary equipment",2
mammal mummy,2
"coin ,  brockage",2
"nikosthenic pyxis ,  lid",2
canopic box panel,2
"dish ,  vegetal remains",2
leg cover,2
armchair,2
kherep-sceptre,2
divine standard,2
oven,2
rowing boat,2
senet-game,2
badge,2
unspecified trappings,2
potter's tool/implement,2
head kantharos,2
"jar ,  lid",2
"model ,  shield ,  figure",2
ploughing,2
"model ,  figure ,  trial-piece",2
"sundial ,  model",2
bird-net,2
"model ,  threshing-board ,  figure",2
miscellaneous equipment,2
maul,2
casing stone,2
food case,2
opening of the mouth instrument,2
sack,2
counterpoise of menat,2
peseshkaf,2
kohl-container,2
tomb,2
incense burner,2
serpent mummy,2
garment,2
fruit,2
unspecified toy,2
weights of a loom,2
ear plug,2
"figurine ,  pendant",2
finger stall,2
epitaph plaque,2
"coin ,  trial-piece",2
"cameo ,  vessel",2
perfume-vase,2
"print ,  uki-e",2
basketry,2
"stela ,  funerary equipment",2
"altar ,  votive offering",2
gargoyle,2
unspecified domestic equipment and utensil,2
mehen,2
fish mummy,2
temple,2
tool,2
kohl,2
trumpet,2
lighting equipment and implements,2
chariot,2
carpenter's shop,2
weaving and spinning workshop,2
level,2
wesekh-collar,2
lagena,2
unspecified spinning and weaving implement,2
dowel,2
wedge,2
carpenters & sculptors tools,2
urn,2
"javelin ,  spear",2
"necklace ,  prayer-bead",2
"wine-vessel  ,  ostracon",2
"figure ,  stopper",2
"figure  ,  pendant",2
plane,2
incense-tongs,2
"necklace ,  bead ,  pendant",2
"tool/implement ,  perforator",2
bradawl,2
hieroglyph-mould,2
head-dress-ornament,2
game-counter,2
perfume-jar,2
ear-plug,2
"model ,  bell",2
"ceremonial staff ,  terminal",2
paddle doll,2
"spacer-bar ,  bracelet",2
"vessel  ,  figure",2
"model ,  coffin",2
tobacco-box,2
"funerary equipment ,  food product",2
fruit-basket,2
eye-bath,2
"lamp ,  game-piece",2
"sceptre ,  amulet",2
"vase  ,  terminal",2
"tomb-relief ,  door-jamb",2
"model ,  oar",2
"scribal palette ,  paint-brush",2
"cast ,  obelisk",2
pigment-container,2
drawing-board,2
"tomb-painting ,  ceiling",2
"bust ,  trial-piece",2
branding-iron,2
"viol ,  fiddle",2
"textile ,  mummy-wrapping  ,  cloth",2
fork,2
"weight ,  plumb-bob",2
purse,2
"ear-ring ,  hair-ring ,  bead",2
"vessel ,  amphora",2
"charm ,  necklace",2
broom,2
"bottle ,  sample",2
"rod ,  kohl-stick",2
scissors-case,2
"pen-case ,  ink-bottle",2
