,Unique Values,Count
3741,"Bottle, perfume, trussed ducks",1
5185,"Bottle, polychrome",1
4864,"Bottle, rim fragment",1
5043,"Bottle, stopper, suspension ring",1
4658,"Bottle, votive",1
174,Bow,8
2688,Bow end,1
2213,Bow tip,1
3289,"Bow, composite",1
4395,"Bow, selfbow, recurve",1
19,Bowl,67
3849,Bowl Fragment,1
3261,"Bowl boss, conical",1
911,Bowl fragment,2
1842,"Bowl fragment, blue painted ware",1
4037,"Bowl fragment, decorated",1
4659,Bowl fragments,1
932,"Bowl sherd, Aegean",2
3808,Bowl with fish and lotuses,1
2594,"Bowl, Black-topped red ware",1
1046,"Bowl, Kerma ware",2
2592,"Bowl, Late ware",1
3443,"Bowl, Nun, marsh",1
4961,"Bowl, Nun, pool, lotus",1
4973,"Bowl, Nun, pool, lotus, fish, birds, Rennefer",1
4006,"Bowl, Nun, pool, lotus, marsh",1
5110,"Bowl, Nun, pool, lotus, marsh, Rennefer",1
5096,"Bowl, Rennefer",1
2591,"Bowl, Rough ware",1
5109,"Bowl, Ruiu, Nun, rosette, lotus",1
3373,"Bowl, White cross-lined ware",1
4732,"Bowl, bosses, acorns, weight",1
4729,"Bowl, bosses, lotus, weight",1
4727,"Bowl, bosses, petals",1
2597,"Bowl, bull",1
3387,"Bowl, carinated",1
5215,"Bowl, dates",1
1682,"Bowl, deep",1
3464,"Bowl, deep, Late ware, designs",1
3370,"Bowl, deep, white cross-lined ware",1
4637,"Bowl, double",1
4027,"Bowl, faience",1
5211,"Bowl, figs, foundation deposit, Hatshepsut",1
4730,"Bowl, fluted",1
4731,"Bowl, fluted, weight",1
5321,"Bowl, food, Nebekh",1
5320,"Bowl, food, dates",1
5317,"Bowl, food, figs",1
5310,"Bowl, food, garley",1
5319,"Bowl, food, grapes",1
4340,"Bowl, footed",1
977,"Bowl, incised ware",2
2380,"Bowl, jujube berries",1
5300,"Bowl, jujube berries and sand, foundation deposit",1
5309,"Bowl, jujube berries, foundation deposit, Hatshepsut",1
5306,"Bowl, jujubes, Foundation Deposit, Hatshepsut",1
2272,"Bowl, lotus",1
4158,"Bowl, marsh scenes",1
