,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
425,RC-1216 - Shawabti,Egyptian,,685-343 BCE,,Faience,Ritual Objects,48.jpg
426,RC-1220 - Jar,Egyptian,,4000 - 3050 BCE,Predynastic,Clay,Vessels,438.jpg
427,RC-1225 - Terraphim Fragment/ Ishtar,Mesopotamian,,,,Clay,Babylonian,682.jpg
428,RC-1226 - Terraphim Fragment/ Armed God,Mesopotamian,,,,Clay,Babylonian,900.jpg
429,RC-1227 - Plaque Fragment,Mesopotamian,,,,Clay,Babylonian,494.jpg
430,RC-1230 - Funerary Papyrus,Egyptian,27TH,500 BCE,Late Period,Papyrus,Funerary,8.jpg
431,RC-1231 - Kohl Jar,Egyptian,12TH,1991-1784 BCE,Middle Kingdom,Gray Limestone,Toiletries,314.jpg
432,RC-1232 - Inkpot,Egyptian,,,,Gray Limestone,Writing Materials,225.jpg
433,RC-1234 - Palette,Egyptian,,3800 BCE,Predynastic,Slate,Writing Materials,717.jpg
434,RC-1235 - Palette,Egyptian,,4000 - 3050 BCE,Predynastic,Slate,Writing Materials,600.jpg
435,RC-1236 - Bird Palette,Egyptian,,4000 - 3050 BCE,Predynastic,Slate,Writing Materials,146.jpg
436,RC-1237 - Razor,Egyptian,,300 BCE,Ptolemaic,Bronze,Toiletries,520.jpg
437,RC-1238 - Amenhotep III Kohl Tube,Egyptian,18TH,1417-1379 BCE,New Kingdom,Wood,Toiletries,998.jpg
438,RC-1239 - Headrest,Egyptian,3 - 4TH,2705-2525 BCE,Archaic Or Old King.,Wood,Furniture,868.jpg
439,RC-1240 - Mirror with Hathor Head Handle,Egyptian,18TH,1570-1293 BCE,New Kingdom,Bronze,Toiletries,856.jpg
440,RC-1253 - Die,Egyptian,,100 - 500 CE,Coptic Period,Ivory,Toys/Games,895.jpg
441,RC-1254 - Doll Fragment,Egyptian,,100 - 500 CE,Coptic Period,Ivory,Toys/Games,174.jpg
442,RC-1255 - Astragalus,Egyptian,18TH,1570-1293 BCE,New Kingdom,Rock Crystal,Toys/Games,292.jpg
