,objectDate,locus,city,objectName,subregion,period,Path,title,dynasty,reign,classification,medium,region
8928,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform",unknown,Third Intermediate Period or earlier,553654.json,Stem of lotiform goblet with palm fronds in relief,Dynasty 21-25,unknown,unknown,Faience,unknown
8929,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform, relief",unknown,Third Intermediate Period or later,553655.json,Chalice rim fragment with floral chain and scene of man in papyrus,Dynasty 21-25,unknown,unknown,Faience,unknown
8930,ca. 1070-712 B.C.,unknown,unknown,"Chalice, cup, lotiform, relief",unknown,Third Intermediate Period,553656.json,Relief chalice rim fragment with a wedjat frieze and below that a Hathor sistrum head emerging from papyrus plants,Dynasty 21-24,unknown,unknown,Faience,unknown
8931,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform",unknown,Third Intermediate Period or later,553657.json,Rim Fragment of a Lotiform Chalice,Dynasty 21-25,unknown,unknown,Faience,unknown
8932,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform, relief, Bes",unknown,Third Intermediate Period or later,553658.json,Wall fragment of a chalice with Bes face,Dynasty 21-25,unknown,unknown,Faience,unknown
8933,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform",unknown,Third Intermediate Period or later,553659.json,Chalice rim fragment with palm fronds,Dynasty 21-25,unknown,unknown,Faience,unknown
8934,ca. 1070-664 B.C.,unknown,unknown,"Vessel fragment, chalice",unknown,Third Intermediate Period or later,553660.json,Vessel fragment with child in marshes,Dynasty 21-25,unknown,unknown,Faience,unknown
8935,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform",unknown,Third Intermediate Period or later,553661.json,Lotiform chalice fragment with painted petals and inscription band,Dynasty 21-25,unknown,unknown,"Faience, blue, black",unknown
8936,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform, relief",unknown,Third Intermediate Period or later,553662.json,Chalice fragment,Dynasty 21-25,unknown,unknown,Faience,"Upper Egypt, Thebes"
8937,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform, relief",unknown,Third Intermediate Period or later,553663.json,Chalice fragment,Dynasty 21-25,unknown,unknown,Faience,"Upper Egypt, Thebes"
8938,ca. 1070-664 B.C.,unknown,unknown,"Chalice, cup, lotiform, relief",unknown,Third Intermediate Period or later,553664.json,Chalice fragment,Dynasty 21-25,unknown,unknown,Faience,"Upper Egypt, Thebes"
8939,ca. 1070-343 B.C.,unknown,unknown,Canopic chest,unknown,Third Intermediate Period-Late Period,553666.json,Canopic Box,unknown,unknown,unknown,"Wood, paint",unknown
8940,ca. 1295-1070 B.C.,east of Dagi,unknown,"Papyrus, funerary, Re-Harakhty",Sheikh Abd el-Qurna,"New Kingdom, Ramesside",553669.json,Fragments of a funerary papyrus,Dynasty 19-20,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8941,ca. 630 B.C.,in rubbish in pit,unknown,"Papyrus, funerary, fragments, Khamhor",Deir el-Bahri,"Late Period, Saite",553674.json,Fragments from the Funerary Papyrus of Khamhor,Dynasty 19-26,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8942,656 B.C. or later,unknown,unknown,"Papyrus, funerary",Deir el-Bahri,"Late Period, Saite or later",553675.json,Fragments of Papyrus,Dynasty 26 or later,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8943,664-404 B.C. or later,unknown,unknown,"Papyrus, funerary, Book of the Dead, Chapter 102",Sheikh Abd el-Qurna,"Late Period, Saite or Persian",553676.json,Fragments of the Book of the Dead,Dynasty 26-27,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8944,1295-1070 B.C.,unknown,unknown,"Papyrus, Charm",Deir el-Bahri,"New Kingdom, Ramesside",553677.json,Papyrus charm,Dynasty 19-20,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8945,1295-1070 B.C.,unknown,unknown,"Papyrus, Charm",Deir el-Bahri,"New Kingdom, Ramesside",553678.json,Papyrus charm,Dynasty 19-20,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8946,664-525 B.C.,unknown,unknown,"Papyrus, charm",Deir el-Bahri,Late Period,553679.json,Papyrus charm,Dynasty 25-26,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8947,ca. 1070-664 B.C.,unknown,unknown,Heart Scarab,Deir el-Bahri,Third Intermediate Period or later,553680.json,Heart Scarab,Dynasty 21-25,unknown,unknown,Blue paste,"Upper Egypt, Thebes"
8948,ca. 700-525 B.C.,unknown,unknown,"Papyrus, astronomical",Deir el-Bahri,Third Intermediate Period-Late Period,553681.json,Astronomical papyrus fragments with a representation of the planet Saturn,Dynasty 25-26,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8949,ca. 1070-664 B.C.,unknown,unknown,"Amulet, Pataikos",unknown,Third Intermediate Period,553696.json,Pataikos Amulet with seal on base,Dynasty 21-25,unknown,unknown,Faience,unknown
8950,ca. 1295-1070 B.C.,unknown,unknown,"Papyrus, funerary, Book of the Dead","Deir el-Bahri, west of Priests' Cemetery","New Kingdom, Ramesside",553719.json,Fragments from a Book of the Dead,Dynasty 19-20,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8951,664-332 B.C.,unknown,unknown,"Papyrus, funerary, Book of the Dead",Sheikh Abd el-Qurna,Late Period,553720.json,"Papyrus fragments, Book of the Dead",Dynasty 26-30,unknown,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8952,ca. 1390-1353 B.C.,unknown,unknown,"Papyrus, funerary, Book of the Dead",Asasif,New Kingdom,553721.json,Fragments from a Book of the Dead,"Dynasty 18, possibly later",Amenhotep III,unknown,"Papyrus, ink","Upper Egypt, Thebes"
8953,ca. 1070-664 B.C.,unknown,unknown,"Heart Scarab, uninscribed",unknown,Third Intermediate Period or later,553724.json,Uninscribed Heart Scarab,Dynasty 21-25,unknown,unknown,Feldspar,unknown
8954,ca. 1070-664 B.C.,unknown,unknown,Heart Scarab,unknown,Third Intermediate Period or later,553725.json,Heart Scarab,Dynasty 21-25,unknown,unknown,"Faience, inlay",unknown
8955,ca. 990-969 B.C.,unknown,unknown,"Cup, Nesikhonsu",unknown,Third Intermediate Period or later,553730.json,Cup of Nesikhonsu,Dynasty 21,Reign of High Priest Painedjem II,unknown,Faience,unknown
8956,ca. 990-969 B.C.,unknown,unknown,"Cup, Nesikhonsu, royal cache, Painedjem II",unknown,Third Intermediate Period or later,553731.json,Cup of Nesikhonsu,Dynasty 21,pontificate of Painedjem II,unknown,Faience,unknown
8957,ca. 1040-992 B.C.,NRT III,unknown,"Shabti, Psusennes I, overseer",Tanis,Third Intermediate Period,553734.json,Overseer Shabti of Psusennes I,Dynasty 21,reign of Psusennes I,unknown,Bronze or copper alloy,Eastern Delta
8958,ca. 1070-664 B.C.,unknown,unknown,"Statuette, goddess seated",unknown,Third Intermediate Period or later,553735.json,Seated goddess,Dynasty 21-25,unknown,unknown,Bronze or copper alloy,unknown
8959,ca. 1070-664 B.C.,unknown,unknown,Scarab,unknown,Third Intermediate Period or later,553736.json,Scarab from mummy wrappings,Dynasty 21-25,unknown,unknown,Faience,unknown
8960,664-332 B.C.,unknown,unknown,"Amulet, hare",unknown,Late Period,553737.json,Hare amulet,Dynasty 26-30,unknown,unknown,Faience,unknown
8961,ca. 1184-664 B.C.,unknown,unknown,"Statue, Reshef, Reshep, foreign, mace, shield, war",unknown,"New Kingdom, Ramesside-Third Intermediate Period",553738.json,Statue of the God Reshef,Dynasty 20-24,unknown,unknown,Limestone,unknown
8962,ca. 945-924 B.C.,Pit 1103,unknown,"Shabti, Divine Consort, Mutemhat Mehytenweskhet",Valleys south of Deir el-Bahri,Third Intermediate Period,553742.json,Shabti of the Divine Consort Mutemhat Mehytenweskhet,Dynasty 22,"reign of Sheshonq I, approximately",unknown,Faience,"Upper Egypt, Thebes"
8963,ca. 1070-945 B.C,unknown,unknown,Coffin box part,unknown,Third Intermediate Period,553754.json,Part of a coffin,Dynasty 21,unknown,unknown,"Wood, paint",unknown
8964,ca. 1550-1295 B.C.,unknown,unknown,Shirt,unknown,New Kingdom,553758.json,Shirt,Dynasty 18,unknown,unknown,Linen,unknown
8965,ca. 1295-1186 B.C.,unknown,unknown,Shabti of Queen Tia,Medinet Habu,"New Kingdom, Ramesside",553759.json,Shabti of Queen Tia,Dynasty 19,unknown,unknown,Faience,"Upper Egypt, Thebes"
8966,ca. 1550-1295 B.C.,unknown,unknown,Bowl,Asasif,New Kingdom,553764.json,Bowl,Dynasty 18,unknown,unknown,Pottery,"Upper Egypt, Thebes"
8967,ca. 1550-1295 B.C.,unknown,unknown,Kohl jar,Asasif,New Kingdom,553765.json,Kohl jar,Dynasty 18,unknown,unknown,Light red ware,"Upper Egypt, Thebes"
8968,ca. 1550-1295 B.C.,unknown,unknown,Basket,Asasif,New Kingdom,553766.json,Basket,Dynasty 18,unknown,unknown,Fiber,"Upper Egypt, Thebes"
8969,ca. 1479-1400 B.C.,unknown,unknown,"Coffin, child's",Dra Abu el-Naga,New Kingdom,553767.json,Linen Chest Reused as a Child's Coffin,Dynasty 18,reign of Thutmose III-Amenhotep II,unknown,"Wood, whitewash","Upper Egypt, Thebes"
8970,ca. 1427-1400 B.C.,unknown,unknown,"Brick, Amenhotep II",Asasif,New Kingdom,553768.json,"Brick, Amenhotep II",Dynasty 18,reign of Amenhotep II,unknown,Mud,"Upper Egypt, Thebes"
8971,ca. 1550-1295 B.C.,unknown,unknown,"Beads, barrel",Wadi Gabbanat el-Qurud,New Kingdom,553772.json,30 barrel beads in 2 rows,Dynasty 18,unknown,unknown,Carnelian,"Upper Egypt, Thebes"
8972,ca. 1353-1336 B.C.,pit outside southern wall,unknown,Crown with discs,Amarna,"New Kingdom, Amarna Period",553775.json,Crown with discs,Dynasty 18,reign of Akhenaten,unknown,Red quartzite,Middle Egypt
8973,ca. 1353-1336 B.C.,pit outside southern wall,unknown,Crown with discs,Amarna,"New Kingdom, Amarna Period",553776.json,Crown with discs,Dynasty 18,reign of Akhenaten,unknown,Red quartzite,Middle Egypt
8974,ca. 1353-1336 B.C.,unknown,unknown,Right toe,Amarna,"New Kingdom, Amarna Period",553777.json,Right big toe of a statue,Dynasty 18,reign of Akhenaten,unknown,diorite,Middle Egypt
8975,ca. 1353-1336 B.C.,Pit outside southern wall,unknown,"Small block, name of Nefertiti",Amarna,"New Kingdom, Amarna Period",553778.json,Part of a small block with name of Nefertiti and another on adjacent sides,Dynasty 18,reign of Akhenaten,unknown,Red quartzite,Middle Egypt
8976,ca. 1353-1336 B.C.,pit outside southern wall,unknown,"pillar or stela, first cartouche of the Aten",Amarna,"New Kingdom, Amarna Period",553779.json,Part of a  pillar or stela with the first cartouche of the Aten,Dynasty 18,reign of Akhenaten,unknown,Red quartzite,Middle Egypt
8977,ca. 1353-1336 B.C.,pit outside southern wall,unknown,"Hand casting incense , offering pile",Amarna,"New Kingdom, Amarna Period",553780.json,Hand casting incense  over an offering pile,Dynasty 18,reign of Akhenaten,unknown,Red quartzite,Middle Egypt
8978,ca. 1353-1336 B.C.,pit outside southern wall,unknown,"Right forearm, bent, garment",Amarna,"New Kingdom, Amarna Period",553781.json,Bent right forearm with garment pleats,Dynasty 18,reign of Akhenaten,unknown,Red quartzite,Middle Egypt
8979,ca. 1279-1213 B.C.,unknown,unknown,"Tile, palace of Ramesses II, bearded face, Mesopotamian singer",Qantir,"New Kingdom, Ramesside",553783.json,Tile with a head of a Mesopotamian captive from the palace of Ramesses II,Dynasty 19,reign of Ramesses II,unknown,Faience,Eastern Delta
8980,332-30 BC,unknown,unknown,Die,unknown,Ptolemaic Period,553788.json,Die,unknown,unknown,unknown,White Faience,unknown
8981,ca. 1200-30 B.C.,unknown,unknown,Mallet,Asasif,New Kingdom-Ptolemaic,553791.json,Mallet,Dynasty 20 or later,unknown,unknown,Wood,"Upper Egypt, Thebes"
8982,ca. 1200-30 B.C.,unknown,unknown,Mallet,Asasif,New Kingdom-Ptolemaic,553792.json,Mallet,Dynasty 20 or later,unknown,unknown,Wood,"Upper Egypt, Thebes"
8983,ca. 712-660 B.C. or later,unknown,unknown,"Bolt, door",Khokha,Third Intermediate Period,553795.json,Door Bolt,Dynasty 25 or later,unknown,unknown,Wood,"Upper Egypt, Thebes"
8984,332-30 B.C.,unknown,unknown,Pot hook,Asasif,Ptolemaic Period,553796.json,Pot hook,unknown,unknown,unknown,Bronze,"Upper Egypt, Thebes"
8985,ca. 1070-950 B.C.,South lower colonnade,unknown,Pick,Deir el-Bahri,Third Intermediate Period,553797.json,Pick,Dynasty 21-22,unknown,unknown,Wood,"Upper Egypt, Thebes"
8986,ca. 712-660 B.C. or later,unknown,unknown,Carpenter's Planer,unknown,Third Intermediate Period,553798.json,Mason's Float,Dynasty 25 or later,unknown,unknown,Wood,unknown
8987,ca. 1070-664 B.C.,unknown,unknown,"Amulet, cat",unknown,Third Intermediate Period or later,553799.json,Cat amulet,Dynasty 21-25,unknown,unknown,Faience,unknown
8988,664-332 B.C.,unknown,unknown,"Amulet, Nephthys",unknown,Late Period,553810.json,Nephthys Amulet,Dynasty 26-30,unknown,unknown,Lapis lazuli,unknown
8989,664-332 B.C.,unknown,unknown,"Amulet, queen",unknown,Late Period,553811.json,Neith Amulet,Dynasty 26-30,unknown,unknown,Lapis lazuli,unknown
8990,ca. 733-664 B.C.,unknown,unknown,"Scarab, ram head, Hathor, cobra, sun barque, Amun, hieroglyphs",unknown,Third Intermediate Period,553813.json,Ram-headed Scaraboid Inscribed with a Blessing Related to Amun,Dynasty 25,unknown,unknown,Glazed steatite,unknown
8991,ca. 1186-600 BC,unknown,unknown,"Music, sistrum, Hathor emblem, Bat, Tapenu",unknown,New Kingdom-Late Period,553814.json,Sistrum of the Chantress Tapenu,unknown,unknown,unknown,Cupreous metal,unknown
8992,6th century BC,unknown,unknown,Jug,unknown,Late Period,553815.json,Aryballos,Dynasty 26,unknown,unknown,Faience,unknown
8993,332-30 B.C.,unknown,unknown,"Intaglio, Serapis",unknown,Ptolemaic Period,553817.json,Intaglio with head of Serapis,unknown,unknown,unknown,Carnelian,unknown
8994,ca. 1070-664 B.C.,unknown,unknown,"Menat counterpoise, Bastet Wadjet",unknown,Third Intermediate Period or later,553822.json,Menat Counterpoise with an Image of Bastet,Dynasty 21-25,unknown,unknown,Faience,unknown
8995,306-30 B.C.,unknown,unknown,"Funerary Figure, Ptah-Sokar-Osiris",unknown,Ptolemaic Period,553823.json,Ptah-Sokar-Osiris Figure,unknown,unknown,unknown,"Wood, paste, gilding, paint",unknown
8996,ca. 1550-1295 B.C.,Tomb D76,unknown,"Kohl jar, Horus falcon and grotesque figure",Abydos,New Kingdom,553833.json,Kohl jar decorated wtih Horus falcon and grotesque figure,Dynasty 18,unknown,unknown,Blackened limestone,Northern Upper Egypt
8997,ca. 1479-1425 B.C.,Tomb D99,unknown,"Papyrus burnisher, Scribe, Merymaat",Abydos,New Kingdom,553841.json,"Papyrus burnisher of the Scribe, Merymaat",Dynasty 18,reign of Thutmose III,unknown,Ebony,Northern Upper Egypt
8998,ca. 1550-1295 B.C.,unknown,unknown,"Relief, Thutmose III",Abydos,New Kingdom,553850.json,"Relief, Thutmose III",Dynasty 18,unknown,unknown,Limestone,Northern Upper Egypt
8999,ca. 1550-1295 B.C.,unknown,unknown,"Weight, bull",unknown,New Kingdom,553858.json,"Weight, bull",Dynasty 18,unknown,unknown,Red jasper,unknown
9000,ca. 1492-1479 B.C.,unknown,unknown,"Scarab, Thutmose II",unknown,New Kingdom,553869.json,Scarab Inscribed with the Throne Name of Thutmose II,Dynasty 18,reign of Thutmose II,unknown,Steatite,unknown
9001,ca. 1492-1479 B.C.,unknown,unknown,"Scarab, Thutmose II, Aakheperenre, falcon, collar",unknown,New Kingdom,553870.json,Scarab Inscribed with the Throne Name of Thutmose II,Dynasty 18,reign of Thutmose II,unknown,Steatite,unknown
9002,ca. 1492-1479 B.C.,unknown,unknown,"Scarab, Thutmose II, Aakheperenre",unknown,New Kingdom,553871.json,Scarab Inscribed with the Throne Name of Thutmose II,Dynasty 18,reign of Thutmose II,unknown,Hematite,unknown
9003,ca. 1479-1458 B.C.,unknown,unknown,"Ostracon, figured, bound bull",Deir el-Bahri,New Kingdom,553912.json,Ostracon,Dynasty 18,Joint reign of Hatshepsut and Thutmose III,unknown,"Limestone, ink","Upper Egypt, Thebes"
9004,ca. 1550-1425 B.C.,unknown,unknown,Stela,Deir el-Bahri,New Kingdom,553919.json,Stela of Ipunefer and Aashyt,Dynasty 18,unknown,unknown,"Limestone, paint","Upper Egypt, Thebes"
9005,ca. 1550-1450 B.C.,unknown,unknown,"Shrine, statues, Ipunefer, Aashyt",Deir el-Bahri,New Kingdom,553920.json,Shrine with statues and relief,early Dynasty 18,unknown,unknown,"Sandstone, paint","Upper Egypt, Thebes"
9006,ca. 1479-1425 B.C.,unknown,unknown,"Statue, Thutmose III",Deir el-Bahri,New Kingdom,553922.json,Upper part of a statue of Thutmose III,Dynasty 18,unknown,unknown,Indurated limestone,"Upper Egypt, Thebes"
9007,ca. 1550-1295 B.C.,unknown,unknown,Shabti,Deir Rifa,New Kingdom,553923.json,Shabti,Dynasty 18,unknown,unknown,Pottery,Middle Egypt
9008,ca. 1550-1295 B.C.,unknown,unknown,"Statue, man",unknown,New Kingdom,553926.json,Upper Part of a Statue of a Man,Dynasty 18,unknown,unknown,Gabbro,unknown
9009,ca. 1390-1352 B.C.,unknown,unknown,"Kohl jar, Amenhotep III, Queen Tiye",unknown,New Kingdom,553927.json,Kohl Jar Inscribed with the Names of Amenhotep III and Queen Tiye,Dynasty 18,Amenhotep III,unknown,Faience,unknown
9010,ca. 1410-1370 B.C.,burial shaft,unknown,"Vase, blue painted, Nakht, TT 52",Sheikh Abd el-Qurna,New Kingdom,553934.json,Blue-painted ware vase,Dynasty 18,later reign of Amenhotep II-mid-reign of  Amenhotep III,unknown,"Pottery, blue painted","Upper Egypt, Thebes"
9011,ca. 1550-1525 B.C.,unknown,unknown,"Scarab, Ahmose-Nefertari, principal queen",unknown,New Kingdom,553935.json,Scarab Inscribed for the King's Principal Wife Ahmose,Dynasty 18,reign of Ahmose,unknown,"Steatite, glazed",unknown
9012,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Ahmose, King's principal wife, Thutmose I",unknown,New Kingdom,553936.json,Scarab Inscribed for the King's Principal Wife Ahmose,Dynasty 18,reign of Thutmose I,unknown,"Steatite, glazed",unknown
9013,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Aakheperkare, good god",unknown,New Kingdom,553937.json,Scarab Inscribed with the Throne Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,"Steatite, glazed",unknown
9014,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose II, Aakheperenre",unknown,New Kingdom,553938.json,Scarab Inscribed with the Throne Name of Thutmose II,Dynasty 18,reign of Thutmose II,unknown,"Steatite, glazed",unknown
9015,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Aakheperkare",unknown,New Kingdom,553939.json,Scarab Inscribed with the Throne Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,"Steatite, glazed",unknown
9016,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Aakheperkare, neferrenput",unknown,New Kingdom,553940.json,Scarab Inscribed with the Throne Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,Faience,unknown
9017,ca. 1479-1458 B.C.,unknown,unknown,"Scarab, Hatshepsut, Maatkare",unknown,New Kingdom,553941.json,Scarab Inscribed with the Throne Name of Hatshepsut,Dynasty 18,joint reign of Hatshepsut and Thutmose III,unknown,Steatite,unknown
9018,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, bull",unknown,New Kingdom,553942.json,Scarab Inscribed for Thutmose I,Dynasty 18,reign of Thutmose I,unknown,Steatite,unknown
9019,ca. 1427-1401 B.C.,unknown,unknown,"Scarab, Amenhotep II, Aakheperure beloved of Amun, lion",unknown,New Kingdom,553943.json,Scarab Inscribed with the Throne Name of Amenhotep II,Dynasty 18,reign of Amenhotep II,unknown,Steatite,unknown
9020,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Aakheperkare",unknown,New Kingdom,553944.json,Scarab Inscribed with the Throne Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,Steatite,unknown
9021,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Aakheperkare",unknown,New Kingdom,553945.json,Scarab Inscribed with the Throne Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,"Steatite, glazed",unknown
9022,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Aakheperkare",unknown,New Kingdom,553946.json,Scarab Inscribed with the Throne Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,"Steatite, glazed",unknown
9023,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Aakheperkare",unknown,New Kingdom,553947.json,Scarab Inscribed with the Throne Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,"Steatite, glazed",unknown
9024,ca. 1504-1492 B.C.,unknown,unknown,"Scarab, Thutmose I, Horus Name",unknown,New Kingdom,553948.json,Scarab Inscribed with the Horus Name of Thutmose I,Dynasty 18,reign of Thutmose I,unknown,"Steatite, glazed",unknown
9025,ca. 1400-1390 B.C.,unknown,unknown,"Scarab, Thutmose IV",unknown,New Kingdom,553960.json,Scarab,Dynasty 18,reign of Thutmose IV,unknown,Glazed steatite,"Upper Egypt, Thebes"
9026,ca. 1427-1400 B.C.,unknown,unknown,"Ring, Amenhotep II",unknown,New Kingdom,553961.json,"Ring, Amenhotep II",Dynasty 18,reign of Amenhotep II,unknown,"Bronze or copper alloy, steatite",unknown
9027,ca. 1390-1352 B.C.,unknown,unknown,"Scarab, Amenhotep III",unknown,New Kingdom,553973.json,"Scarab of Amenhotep III, ruler of Heliopolis",Dynasty 18,reign of Amenhotep III,unknown,Green glazed steatite,unknown
9028,ca. 1550-1295 B.C.,unknown,unknown,Cowroid with Hathor emblem,unknown,New Kingdom,554002.json,Cowroid with a Hathor emblem,Dynasty 18,unknown,unknown,Faience,unknown
9029,ca. 1550-1295 B.C.,unknown,unknown,"Scaraboid, hippopotamus",unknown,New Kingdom,554025.json,Seal Amulet in the Shape of a Hippopotamus,Dynasty 18,unknown,unknown,Glazed steatite,unknown
9030,ca. 1353-1336 B.C.,unknown,unknown,Scarab,unknown,New Kingdom,554039.json,Scarab,Dynasty 18,reign of Akhenaten,unknown,Faience,unknown
9031,ca. 1550-1295 B.C.,unknown,unknown,"Stamp seal, duck, Hathor emblem",unknown,New Kingdom,554040.json,Stamp Seal in the Shape of a Duck,Dynasty 18,unknown,unknown,Faience,unknown
9032,ca. 1550-1295 B.C.,unknown,unknown,Scarab,unknown,New Kingdom,554051.json,Scarab,Dynasty 18,unknown,unknown,Steatite,unknown
9033,ca. 1550-1295 B.C.,unknown,unknown,"Scarab, private",unknown,New Kingdom,554126.json,Scarab with decorative motif,Dynasty 18,unknown,unknown,Faience,"Upper Egypt, Thebes"
9034,ca. 1550-1425 B.C.,unknown,unknown,"Scarab, Hathor emblem",unknown,New Kingdom,554195.json,Scarab with Hathor emblem,"Dynasty 18, early",unknown,unknown,Faience,unknown
9035,ca. 1550-1295 B.C.,unknown,unknown,"tweezer-razor, razor, tweezer, hair curler, knife",unknown,New Kingdom,554253.json,Razor-tweezer,Dynasty 18,unknown,unknown,Bronze or copper alloy,unknown
9036,ca. 1550-1295 B.C.,unknown,unknown,"Ornament, leaves",unknown,New Kingdom,554264.json,"Ornament, leaves",Dynasty 18,unknown,unknown,Faience,unknown
9037,ca. 1550-1295 B.C.,unknown,unknown,Comb fragment,unknown,New Kingdom,554265.json,Comb fragment,Dynasty 18,unknown,unknown,Ivory,unknown
9038,ca. 1550-1295 B.C.,unknown,unknown,Heart Scarab,unknown,New Kingdom,554267.json,Heart Scarab,Dynasty 18,unknown,unknown,Dark Green Stone,unknown
9039,ca. 1550-1295 B.C.,unknown,unknown,"Heart Scarab, Amenemhat",unknown,New Kingdom,554268.json,Heart Scarab of Amenemhat,Dynasty 18,unknown,unknown,Slate,unknown
9040,ca. 1550-1295 B.C.,unknown,unknown,"Cosmetic tool, hand",unknown,New Kingdom,554279.json,"Cosmetic tool, hand",Dynasty 18,unknown,unknown,Ivory,unknown
9041,ca. 1550-1295 B.C.,unknown,unknown,Cosmetic tool,unknown,New Kingdom,554281.json,Cosmetic tool,Dynasty 18,unknown,unknown,Glazed steatite,unknown
9042,ca. 1550-1295 B.C.,unknown,unknown,"Cosmetic handle, duck head",unknown,New Kingdom,554282.json,"Cosmetic handle, duck head",Dynasty 18,unknown,unknown,Bone,unknown
9043,ca. 1550-1295 B.C.,unknown,unknown,Kohl stick,unknown,New Kingdom,554283.json,Kohl stick,Dynasty 18,unknown,unknown,Glass,unknown
9044,ca. 1550-1295 B.C.,unknown,unknown,Kohl Tube,unknown,New Kingdom,554290.json,Kohl Tube in the form of a Palm Column,Dynasty 18,unknown,unknown,Glass,unknown
9045,ca. 1550-1295 B.C.,unknown,unknown,"Music, Rattle, cow",unknown,New Kingdom,554301.json,Cow rattle,Dynasty 18,unknown,unknown,Pottery,unknown
9046,ca. 1390-1352 B.C.,unknown,unknown,"Brick, Meryptah",Sheikh Abd el-Qurna,New Kingdom,554316.json,Mud Brick Stamped with the Name of Meryptah,Dynasty 18,reign of Amenhotep III,unknown,mud,"Upper Egypt, Thebes"
9047,ca. 1550-1295 B.C.,unknown,unknown,Staff,Dra Abu el-Naga,New Kingdom,554319.json,Staff,Dynasty 18,unknown,unknown,Wood,"Upper Egypt, Thebes"
9048,ca. 1550-1295 B.C.,unknown,unknown,"Staff, curved",Dra Abu el-Naga,New Kingdom,554320.json,"Staff, curved",Dynasty 18,unknown,unknown,Wood,"Upper Egypt, Thebes"
9049,ca. 1550-1295 B.C.,unknown,unknown,"Vessel fragment, inscribed",Asasif,New Kingdom,554321.json,Fragment of inscribed vessel,Dynasty 18,unknown,unknown,Pottery,"Upper Egypt, Thebes"
9050,ca. 1550-1295 B.C.,unknown,unknown,Leopard's Head from Priest's Robe,Dra Abu el-Naga,New Kingdom,554322.json,Leopard's Head from Priest's Robe,Dynasty 18,unknown,unknown,Pottery,"Upper Egypt, Thebes"
9051,ca. 1550-1295 B.C.,unknown,unknown,Dish,Asasif,New Kingdom,554323.json,Dish,Dynasty 18,unknown,unknown,Travertine,"Upper Egypt, Thebes"
9052,ca. 1550-1295 B.C.,unknown,unknown,"Coffin, Rishi, name lost",Asasif,New Kingdom,554324.json,Rishi Coffin,Dynasty 18,unknown,unknown,"Wood, stucco, paint","Upper Egypt, Thebes"
9053,ca. 1550-1295 B.C.,unknown,unknown,Stool,Asasif,New Kingdom,554325.json,Stool,Dynasty 18,unknown,unknown,"Wood, reed","Upper Egypt, Thebes"
9054,ca. 1550-1295 B.C.,unknown,unknown,Pot,Asasif,New Kingdom,554326.json,Pot,Dynasty 18,unknown,unknown,Pottery,"Upper Egypt, Thebes"
9055,ca. 1550-1295 B.C.,unknown,unknown,"pouch, cosmetic",unknown,New Kingdom,554327.json,Pouch for Cosmetic Implements,Dynasty 18,unknown,unknown,Leather,"Upper Egypt, Thebes"
9056,ca. 1550-1295 B.C.,unknown,unknown,"Razor-knife, dega",unknown,New Kingdom,554328.json,Knife Razor,Dynasty 18,unknown,unknown,Bronze or copper alloy,"Upper Egypt, Thebes"
